     timestamp        |   TestCR   |         NW arch         |       NW Activation Funcs      | epoch | initLR | LRthres | LRtype | LRScaling | momLower | momUpper | dropType | earlySt | maxFail | weightInit |   L1  |   L2  | maxNorm
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
03-03-18_17-27-33-964 |     0.3959 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_17-51-53-052 |     0.4199 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_18-03-24-127 |     0.4062 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          4 | 0.000 | 0.000 |  0.000
03-03-18_18-09-13-383 |     0.3962 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          5 | 0.000 | 0.000 |  0.000
03-03-18_18-15-43-318 |     0.3945 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          6 | 0.000 | 0.000 |  0.000
03-03-18_18-20-55-961 |     0.3904 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          7 | 0.000 | 0.000 |  0.000
03-03-18_18-29-06-841 |     0.4015 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |         10 | 0.000 | 0.000 |  0.000
03-03-18_19-34-36-506 |     0.4177 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |       5 |      2 |     0.800 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-38-44-759 |     0.4093 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |      10 |      3 |     0.800 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-43-02-905 |     0.4196 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0080 |       5 |      1 |     0.800 |        5 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-36-04-636 |     0.4021 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |       3 |      2 |     0.500 |        3 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-47-28-391 |     0.4174 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0080 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-07-32-208 |     0.4230 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-09-11-244 |     0.3909 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0010 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_19-23-58-180 |     0.4001 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0020 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_19-31-41-382 |     0.3906 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0005 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_19-34-31-246 |     0.3901 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0025 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_19-38-35-404 |     0.4062 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0015 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          8 | 0.000 | 0.000 |  0.000
03-03-18_19-44-22-163 |     0.3996 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0015 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-47-13-780 |     0.4104 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0050 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-49-18-263 |     0.4188 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0100 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-52-45-027 |     0.4029 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0200 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-55-13-884 |     0.4177 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0075 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_19-58-09-795 |     0.4218 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-01-21-316 |     0.4140 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0130 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-03-11-886 |     0.4054 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0120 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-06-11-646 |     0.4260 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-08-18-633 |     0.4182 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0125 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-09-51-315 |     0.4163 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.1000 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-11-18-510 |     0.4163 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0500 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
03-03-18_20-12-49-549 |     0.4143 |   500   500  1000     7 |   ReLu    ReLu    ReLu softmax |    50 | 0.0300 |      10 |      1 |     0.500 |       10 |       40 |        0 |       1 |       5 |          3 | 0.000 | 0.000 |  0.000
